gRNA,param,value
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta0,-4.409172058105469
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta1,8.485894203186035
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,pi,0.009414155036211014
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,gamma_1,-4.295125484466553
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta0,-3.969275712966919
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta1,7.654389381408691
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,pi,0.019631046801805496
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,gamma_1,-3.8931329250335693
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta0,-4.128122329711914
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta1,7.978240013122559
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,pi,0.015613249503076077
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,gamma_1,-4.036495685577393
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta0,-4.043694496154785
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta1,7.8249192237854
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,pi,0.017845772206783295
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,gamma_1,-3.9464192390441895
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta0,-4.2451863288879395
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta1,8.132749557495117
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,pi,0.013151591643691063
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,gamma_1,-4.141550540924072
