gRNA,param,value
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta0,-1.943536400794983
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta1,5.21912145614624
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,pi,0.006544003263115883
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,gamma_1,-1.9434963464736938
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta0,-1.943095326423645
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta1,5.194060802459717
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,pi,0.01447315327823162
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,gamma_1,-1.9430551528930664
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta0,-1.9433960914611816
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta1,5.249321937561035
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,pi,0.012285350821912289
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,gamma_1,-1.9433584213256836
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta0,-1.9434661865234375
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta1,5.237003326416016
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,pi,0.014035284519195557
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,gamma_1,-1.943424940109253
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta0,-1.9434854984283447
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta1,5.200301170349121
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,pi,0.009031026624143124
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,gamma_1,-1.9434475898742676
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,beta0,-1.943288803100586
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,beta1,5.221394062042236
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,pi,0.012836993671953678
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,gamma_1,-1.9432504177093506
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,beta0,-1.9435920715332031
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,beta1,5.209854602813721
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,pi,0.009168600663542747
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,gamma_1,-1.9435538053512573
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,beta0,-1.9432663917541504
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,beta1,5.2764410972595215
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,pi,0.010444859974086285
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,gamma_1,-1.943226933479309
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,beta0,-1.943555474281311
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,beta1,5.229074954986572
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,pi,0.009213278070092201
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,gamma_1,-1.943518042564392
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,beta0,-1.9437752962112427
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,beta1,5.296384811401367
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,pi,0.00401537399739027
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,gamma_1,-1.9437367916107178
