gRNA,weight_Normal1,weight_Normal2,mu1,mu2,scale1,scale2
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,0.6002537,0.39974633,0.3280801,1.7438741,[0.02241112],[0.02241112]
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,0.61772496,0.38227504,0.32723072,1.780348,[0.02196806],[0.02196806]
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,0.61427075,0.38572925,0.32519993,1.7721015,[0.02157868],[0.02157868]
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,0.6114247,0.38857532,0.32663006,1.7685239,[0.02157497],[0.02157497]
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,0.6048165,0.39518353,0.33460703,1.7052016,[0.02309909],[0.02309909]
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,0.6272051,0.3727949,0.3285948,1.7983698,[0.02156789],[0.02156789]
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,0.61508155,0.38491848,0.3355834,1.7443063,[0.02280175],[0.02280175]
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,0.6313708,0.36862922,0.3314545,1.7851397,[0.02204303],[0.02204303]
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,0.6370422,0.3629578,0.33302504,1.7664536,[0.02220067],[0.02220067]
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,0.67572933,0.32427067,0.3282404,1.7862588,[0.02205165],[0.02205165]
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,0.69969916,0.30030084,0.32626003,1.8168312,[0.02112172],[0.02112172]
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,0.66195965,0.33804035,0.317412,1.7914661,[0.0208673],[0.0208673]
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,0.5830331,0.41696694,0.32333693,1.6276206,[0.02231091],[0.02231091]
