gRNA,loss
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,17471.505859375
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,36512.28125
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,26487.3203125
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,30808.548828125
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,23478.0234375
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,31839.23046875
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,23586.73046875
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,29001.19140625
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,22464.837890625
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,9913.2314453125
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,15084.6416015625
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,9637.20703125
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,27139.84375
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,16869.94140625
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,23444.927734375
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,37366.609375
CROPseq_dCas9_DS_GATA1-A,10274.94140625
CROPseq_dCas9_DS_GATA1-B,14273.4189453125
CROPseq_dCas9_DS_GATA1-C,15420.255859375
CROPseq_dCas9_DS_GATA1-D,15571.1416015625
CROPseq_dCas9_DS_HS2-A,15607.873046875
CROPseq_dCas9_DS_HS2-B,21440.28515625
CROPseq_dCas9_DS_HS2-C,27603.57421875
CROPseq_dCas9_DS_HS2-D,36941.51171875
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,19929.357421875
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,6592.41357421875
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,26837.962890625
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,31976.326171875
CROPseq_dCas9_DS_MYC-A,31994.548828125
CROPseq_dCas9_DS_MYC-B,24133.05078125
CROPseq_dCas9_DS_MYC-C,18248.146484375
CROPseq_dCas9_DS_MYC-D,17137.880859375
CROPseq_dCas9_DS_OXR1_+_107670106.23,26044.658203125
CROPseq_dCas9_DS_OXR1_+_107670159.23,25650.775390625
