gRNA,param,value
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta0,-5.007709503173828
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta1,8.593230247497559
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,pi,0.009613673202693462
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,theta,6.309634208679199
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,gamma_1,-3.7741174697875977
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta0,-4.379620552062988
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta1,7.767965793609619
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,pi,0.02015543542802334
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,theta,6.136023044586182
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,gamma_1,-3.5772340297698975
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta0,-4.4727959632873535
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta1,8.0700101852417
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,pi,0.015708979219198227
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,theta,11.644561767578125
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,gamma_1,-3.757282018661499
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta0,-4.324183464050293
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta1,7.871554374694824
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,pi,0.01800696551799774
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,theta,12.833218574523926
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,gamma_1,-3.702594757080078
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta0,-4.765473365783691
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta1,8.270588874816895
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,pi,0.013425185345113277
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,theta,5.621905326843262
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,gamma_1,-3.7159790992736816
