gRNA,param,value
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta0,-4.40917444229126
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta1,8.485894203186035
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,pi,0.009414155036211014
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,gamma_1,-4.295121669769287
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta0,-3.9692695140838623
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta1,7.654387474060059
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,pi,0.019631046801805496
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,gamma_1,-3.893136739730835
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta0,-4.128127098083496
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,beta1,7.978245735168457
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,pi,0.015613249503076077
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,gamma_1,-4.036494255065918
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta0,-4.043697834014893
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,beta1,7.824921131134033
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,pi,0.017845772206783295
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,gamma_1,-3.9464170932769775
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta0,-4.245189666748047
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,beta1,8.132745742797852
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,pi,0.013151591643691063
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,gamma_1,-4.141544342041016
