gRNA,weight_Poisson,weight_Normal,lambda,mu,scale
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,0.5501114,0.44988856,0.08057459443807602,5.687129020690918,1.0918737649917603
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,0.574054,0.425946,0.05978729948401451,5.817762851715088,1.0703625679016113
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,0.56911165,0.43088838,0.05113973841071129,5.781489849090576,1.0317625999450684
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,0.57121587,0.42878407,0.08444403111934662,5.8092474937438965,0.9808127880096436
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,0.5379356,0.46206442,0.04081050306558609,5.454049110412598,1.1744962930679321
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,0.591907,0.40809304,0.09579465538263321,5.912610054016113,1.003671646118164
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,0.56125546,0.43874454,0.08118560165166855,5.630979537963867,1.1721272468566895
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,0.59496444,0.40503561,0.10344256460666656,5.844161510467529,1.0777430534362793
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,0.59149116,0.4085088,0.06145099550485611,5.703737735748291,1.137024164199829
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,0.63736516,0.36263484,0.057871196419000626,5.69896936416626,1.2621278762817383
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,0.68096924,0.31903076,0.09002212435007095,5.9498610496521,1.0086954832077026
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,0.6429948,0.35700515,0.07539279013872147,5.907216548919678,0.942457377910614
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,0.52974534,0.47025466,0.0730694979429245,5.308990955352783,0.9369735717773438
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,0.6237704,0.3762296,0.06406831741333008,5.9703521728515625,0.9045629501342773
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,0.4907805,0.50921947,0.05016213655471802,5.5902581214904785,0.9866469502449036
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,0.5543157,0.44568434,0.06556341797113419,5.470187187194824,1.1330608129501343
CROPseq_dCas9_DS_GATA1-A,0.5530755,0.4469245,0.07220929861068726,5.54423713684082,1.0888913869857788
CROPseq_dCas9_DS_GATA1-B,0.57216924,0.42783073,0.04501700773835182,5.478785037994385,1.0903699398040771
CROPseq_dCas9_DS_GATA1-C,0.567139,0.432861,0.07861050963401794,5.6846232414245605,1.088269591331482
CROPseq_dCas9_DS_GATA1-D,0.6760337,0.32396632,0.10292157530784607,5.933884143829346,1.0429242849349976
CROPseq_dCas9_DS_HS2-A,0.5714821,0.42851785,0.0577017106115818,5.416861057281494,1.0323699712753296
CROPseq_dCas9_DS_HS2-B,0.56281763,0.43718234,0.05581124871969223,5.788376808166504,1.0270715951919556
CROPseq_dCas9_DS_HS2-C,0.5796937,0.42030632,0.05219646915793419,5.898375511169434,1.12730872631073
CROPseq_dCas9_DS_HS2-D,0.587566,0.41243398,0.08059321343898773,6.022356986999512,0.9349491000175476
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,0.6056396,0.39436042,0.04335934668779373,5.801247596740723,1.0990900993347168
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,0.6580642,0.3419358,0.039207663387060165,5.702145099639893,1.1776188611984253
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,0.552327,0.44767302,0.07386374473571777,5.736696720123291,1.0167630910873413
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,0.6175964,0.38240364,0.0808011144399643,5.987368106842041,1.0922545194625854
CROPseq_dCas9_DS_MYC-A,0.62742275,0.37257722,0.07877396047115326,5.740057945251465,1.2604213953018188
CROPseq_dCas9_DS_MYC-B,0.57997406,0.42002597,0.08174344152212143,5.682887077331543,1.118710994720459
CROPseq_dCas9_DS_MYC-C,0.60135937,0.3986407,0.1232530027627945,5.6512346267700195,0.973767101764679
CROPseq_dCas9_DS_MYC-D,0.5742183,0.42578167,0.09938422590494156,5.798339366912842,0.9739475250244141
CROPseq_dCas9_DS_OXR1_+_107670106.23,0.5814308,0.41856924,0.06063098460435867,5.836427688598633,0.9403489232063293
CROPseq_dCas9_DS_OXR1_+_107670159.23,0.6007801,0.3992199,0.08555196970701218,5.672597408294678,1.004635214805603
CROPseq_dCas9_DS_OXR1_+_107670422.23,0.6200069,0.3799931,0.0667986050248146,5.954702377319336,0.9978743195533752
CROPseq_dCas9_DS_OXR1_-_107670413.23,0.58789724,0.41210282,0.07161781191825867,5.767557144165039,1.1308320760726929
CROPseq_dCas9_DS_PHF20L1_+_133787682-P1P2,0.5393358,0.46066418,0.08394638448953629,5.617846488952637,1.071352481842041
CROPseq_dCas9_DS_PHF20L1_+_133788017-P1P2,0.58974373,0.4102563,0.05263355001807213,5.774692058563232,1.145556926727295
CROPseq_dCas9_DS_PHF20L1_+_133788065-P1P2,0.50046635,0.4995336,0.1433194875717163,4.858395576477051,1.2980546951293945
CROPseq_dCas9_DS_PHF20L1_-_133787636-P1P2,0.5222806,0.4777195,0.08159361034631729,5.668905735015869,1.05426824092865
CROPseq_dCas9_DS_RIPK2_+_90770127.23-P1P2,0.5472436,0.45275643,0.048555269837379456,5.532786846160889,1.0786629915237427
CROPseq_dCas9_DS_RIPK2_+_90770318.23-P1P2,0.51774406,0.482256,0.09633676707744598,5.208125114440918,1.2860074043273926
CROPseq_dCas9_DS_RIPK2_-_90770297.23-P1P2,0.6202105,0.37978947,0.0781019851565361,6.009528636932373,0.9139055013656616
CROPseq_dCas9_DS_RIPK2_-_90770465.23-P1P2,0.59561694,0.40438312,0.1575596034526825,5.923603057861328,0.999413788318634
CROPseq_dCas9_DS_STK3_+_99837558.23-P1P2,0.62051886,0.37948117,0.08518838882446289,5.946069240570068,0.9202442169189453
CROPseq_dCas9_DS_STK3_+_99837574.23-P1P2,0.56159055,0.43840945,0.08333171904087067,5.633306503295898,1.0937349796295166
CROPseq_dCas9_DS_STK3_+_99837894.23-P1P2,0.55160016,0.44839984,0.053186602890491486,5.462191104888916,1.0968283414840698
CROPseq_dCas9_DS_STK3_-_99837866.23-P1P2,0.78307974,0.21692027,0.07175059616565704,5.821005821228027,0.9764633774757385
CROPseq_dCas9_DS_UBR5_+_103424908.23-P1P2,0.596366,0.403634,0.06956619024276733,5.749540328979492,1.0520496368408203
CROPseq_dCas9_DS_UBR5_+_103424940.23-P1P2,0.5723975,0.42760253,0.09893197566270828,5.462838172912598,1.039854645729065
CROPseq_dCas9_DS_UBR5_-_103424644.23-P1P2,0.5737849,0.42621505,0.05952513962984085,5.586750507354736,1.1701833009719849
CROPseq_dCas9_DS_UBR5_-_103424857.23-P1P2,0.5446132,0.4553868,0.05885638669133186,4.946042060852051,1.2850056886672974
CROPseq_dCas9_DS_ZFPM2-A,0.550628,0.44937205,0.07332717627286911,5.580751419067383,1.1014574766159058
CROPseq_dCas9_DS_ZFPM2-B,0.5648183,0.43518168,0.20222236216068268,5.229719161987305,1.0010603666305542
CROPseq_dCas9_DS_ZFPM2-C,0.52174926,0.47825077,0.057689327746629715,5.348582744598389,1.1818053722381592
CROPseq_dCas9_DS_ZFPM2-D,0.5155686,0.48443136,0.1095537543296814,5.441077709197998,1.00867760181427
CROPseq_dCas9_DS_non-targeting_00000,0.5862556,0.41374445,0.07605458796024323,6.045460224151611,0.9469878077507019
CROPseq_dCas9_DS_non-targeting_00001,0.56326395,0.43673608,0.13904808461666107,5.592567443847656,0.9845776557922363
CROPseq_dCas9_DS_non-targeting_00002,0.56346744,0.4365326,0.06909524649381638,5.9614763259887695,0.952782392501831
CROPseq_dCas9_DS_non-targeting_00003,0.5972071,0.4027928,0.07690949738025665,5.924251079559326,0.9364443421363831
CROPseq_dCas9_DS_non-targeting_00004,0.6195675,0.38043252,0.08193838596343994,5.84763765335083,1.078695297241211
CROPseq_dCas9_DS_non-targeting_00005,0.6147266,0.38527346,0.05764017999172211,5.912912368774414,0.9742754101753235
CROPseq_dCas9_DS_non-targeting_00006,0.52278596,0.477214,0.04520661383867264,5.676143169403076,0.9723411798477173
CROPseq_dCas9_DS_non-targeting_00007,0.57356256,0.42643744,0.053140539675951004,5.977175235748291,0.9571822285652161
CROPseq_dCas9_DS_non-targeting_00008,0.60542846,0.39457154,0.1147180125117302,5.7346038818359375,0.9889253973960876
CROPseq_dCas9_DS_non-targeting_00009,0.6798985,0.3201015,0.078423872590065,5.9173583984375,1.1096220016479492
CROPseq_dCas9_DS_non-targeting_00010,0.5456355,0.45436445,0.0817401111125946,5.653636932373047,1.1886801719665527
CROPseq_dCas9_DS_non-targeting_00011,0.5596043,0.44039568,0.07150416821241379,5.590769290924072,1.0011217594146729
CROPseq_dCas9_DS_non-targeting_00012,0.5615894,0.43841055,0.0821923166513443,5.623393535614014,1.0799437761306763
CROPseq_dCas9_DS_non-targeting_00013,0.56317484,0.43682516,0.0800989493727684,5.523255348205566,1.1990731954574585
CROPseq_dCas9_DS_non-targeting_00014,0.57931554,0.42068452,0.14190469682216644,5.7553181648254395,1.0870945453643799
CROPseq_dCas9_DS_non-targeting_00015,0.58538616,0.41461387,0.10388746857643127,5.832601070404053,1.0100635290145874
CROPseq_dCas9_DS_non-targeting_00016,0.6134096,0.38659045,0.0687425285577774,5.873246669769287,1.1625369787216187
CROPseq_dCas9_DS_non-targeting_00017,0.5903492,0.40965077,0.06523704528808594,5.7322564125061035,1.127170205116272
CROPseq_dCas9_DS_non-targeting_00018,0.55248374,0.4475163,0.08579874038696289,5.610357761383057,1.0705130100250244
CROPseq_dCas9_DS_non-targeting_00019,0.56858087,0.43141916,0.04515495151281357,5.760592937469482,1.072922945022583
CROPseq_dCas9_DS_non-targeting_00020,0.56440765,0.43559235,0.06358936429023743,5.660572052001953,1.042378306388855
CROPseq_dCas9_DS_non-targeting_00021,0.55102456,0.4489754,0.11513423174619675,5.883133411407471,1.0214948654174805
CROPseq_dCas9_DS_non-targeting_00022,0.578781,0.421219,0.12382777035236359,5.605551719665527,1.1668683290481567
CROPseq_dCas9_DS_non-targeting_00023,0.59766454,0.4023355,0.10993865132331848,5.988813877105713,0.9721515774726868
CROPseq_dCas9_DS_non-targeting_00024,0.5914891,0.40851095,0.0767006129026413,5.833118438720703,1.0362300872802734
CROPseq_dCas9_DS_non-targeting_00025,0.6004418,0.39955822,0.07257886976003647,5.973443031311035,1.0817562341690063
CROPseq_dCas9_DS_non-targeting_00026,0.5620075,0.43799254,0.1156131848692894,5.64041805267334,1.0360742807388306
CROPseq_dCas9_DS_non-targeting_00027,0.6091946,0.39080545,0.08448043465614319,5.8477396965026855,1.051459789276123
CROPseq_dCas9_DS_non-targeting_00028,0.5487524,0.45124754,0.08558393269777298,5.733030796051025,1.0099825859069824
CROPseq_dCas9_DS_non-targeting_00029,0.5905024,0.4094976,0.08408856391906738,5.894785404205322,1.0597857236862183
