gRNA,loss
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,686.6384887695312
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,1426.1124267578125
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,1086.6478271484375
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,1279.74658203125
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,930.6520385742188
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,1318.1448974609375
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,926.7859497070312
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,1170.3759765625
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,917.5889282226562
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,423.47406005859375
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,707.279296875
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,445.958251953125
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,1280.127197265625
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,792.9652709960938
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,936.768310546875
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,1530.8875732421875
CROPseq_dCas9_DS_GATA1-A,427.36285400390625
CROPseq_dCas9_DS_GATA1-B,593.0126342773438
CROPseq_dCas9_DS_GATA1-C,626.1924438476562
CROPseq_dCas9_DS_GATA1-D,675.6729736328125
CROPseq_dCas9_DS_HS2-A,697.9028930664062
CROPseq_dCas9_DS_HS2-B,830.2345581054688
CROPseq_dCas9_DS_HS2-C,1040.5054931640625
CROPseq_dCas9_DS_HS2-D,1566.3941650390625
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,766.5481567382812
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,265.9009094238281
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,1060.1180419921875
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,1315.0484619140625
CROPseq_dCas9_DS_MYC-A,1205.721435546875
CROPseq_dCas9_DS_MYC-B,992.0875854492188
CROPseq_dCas9_DS_MYC-C,832.3814697265625
CROPseq_dCas9_DS_MYC-D,697.7582397460938
CROPseq_dCas9_DS_OXR1_+_107670106.23,1128.553466796875
CROPseq_dCas9_DS_OXR1_+_107670159.23,1121.19970703125
CROPseq_dCas9_DS_OXR1_+_107670422.23,1306.2099609375
