gRNA,weight_Poisson,weight_Normal,lambda,mu,scale
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,0.55010414,0.44989586,0.08057457953691483,5.687129020690918,1.0918736457824707
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,0.57405245,0.42594758,0.05978729948401451,5.817762851715088,1.0703625679016113
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,0.5691282,0.4308718,0.05113980174064636,5.781489849090576,1.0317625999450684
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,0.57123554,0.42876446,0.08444400876760483,5.809247016906738,0.9808128476142883
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,0.53780437,0.46219566,0.0408104732632637,5.454050064086914,1.1744959354400635
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,0.59190685,0.40809315,0.09579465538263321,5.912610054016113,1.0036717653274536
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,0.56209874,0.43790123,0.08118554949760437,5.630979537963867,1.1721298694610596
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,0.59496444,0.40503561,0.10344256460666656,5.844161510467529,1.0777430534362793
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,0.59149116,0.4085088,0.06145099550485611,5.703737735748291,1.1370242834091187
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,0.63736516,0.3626348,0.05787118524312973,5.69896936416626,1.2621278762817383
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,0.6809693,0.31903073,0.09002212435007095,5.9498610496521,1.0086956024169922
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,0.6429948,0.35700515,0.07539279013872147,5.907216548919678,0.942457377910614
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,0.52974534,0.47025466,0.0730694979429245,5.308990955352783,0.9369735717773438
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,0.6237703,0.37622967,0.06406831741333008,5.9703521728515625,0.9045628905296326
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,0.4907805,0.50921947,0.05016213655471802,5.5902581214904785,0.9866469502449036
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,0.5542685,0.44573152,0.06556335091590881,5.470186233520508,1.1330608129501343
CROPseq_dCas9_DS_GATA1-A,0.5530603,0.44693974,0.07220932841300964,5.544236660003662,1.0888913869857788
CROPseq_dCas9_DS_GATA1-B,0.5720856,0.42791435,0.04501701891422272,5.478785514831543,1.0903698205947876
CROPseq_dCas9_DS_GATA1-C,0.56632024,0.43367976,0.07861053198575974,5.684624195098877,1.0882679224014282
CROPseq_dCas9_DS_GATA1-D,0.67603314,0.32396686,0.10290857404470444,5.9338765144348145,1.0429326295852661
CROPseq_dCas9_DS_HS2-A,0.5714796,0.42852038,0.0577017106115818,5.416861057281494,1.0323699712753296
CROPseq_dCas9_DS_HS2-B,0.56285495,0.43714508,0.05581122264266014,5.788376808166504,1.0270715951919556
CROPseq_dCas9_DS_HS2-C,0.57968736,0.42031264,0.05219645798206329,5.898375511169434,1.1273088455200195
CROPseq_dCas9_DS_HS2-D,0.587566,0.41243398,0.08059321343898773,6.022356986999512,0.9349491000175476
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,0.6056396,0.39436042,0.043359339237213135,5.801247596740723,1.0990900993347168
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,0.6580642,0.3419358,0.039207663387060165,5.702145099639893,1.1776188611984253
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,0.5520585,0.44794148,0.07386378198862076,5.736696720123291,1.0167629718780518
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,0.6175963,0.38240364,0.0808011144399643,5.987368106842041,1.0922545194625854
CROPseq_dCas9_DS_MYC-A,0.6274228,0.37257713,0.07877396047115326,5.740057945251465,1.2604213953018188
