gRNA,loss
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,686.6383056640625
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,1426.110595703125
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,1086.6485595703125
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,1279.7464599609375
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,930.6512451171875
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,1318.1434326171875
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,926.7859497070312
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,1170.3760986328125
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,917.5889892578125
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,423.4740295410156
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,707.279296875
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,445.9582214355469
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,1280.1270751953125
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,792.9653930664062
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,936.7683715820312
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,1530.8876953125
CROPseq_dCas9_DS_GATA1-A,427.3627624511719
CROPseq_dCas9_DS_GATA1-B,593.0130004882812
CROPseq_dCas9_DS_GATA1-C,626.1925048828125
CROPseq_dCas9_DS_GATA1-D,675.6734619140625
CROPseq_dCas9_DS_HS2-A,697.9038696289062
CROPseq_dCas9_DS_HS2-B,830.2332763671875
CROPseq_dCas9_DS_HS2-C,1040.5052490234375
CROPseq_dCas9_DS_HS2-D,1566.393798828125
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,766.5480346679688
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,265.9009094238281
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,1060.118896484375
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,1315.0479736328125
CROPseq_dCas9_DS_MYC-A,1205.721435546875
CROPseq_dCas9_DS_MYC-B,992.088134765625
CROPseq_dCas9_DS_MYC-C,832.3814697265625
CROPseq_dCas9_DS_MYC-D,697.758056640625
CROPseq_dCas9_DS_OXR1_+_107670106.23,1128.554443359375
CROPseq_dCas9_DS_OXR1_+_107670159.23,1121.19970703125
CROPseq_dCas9_DS_OXR1_+_107670422.23,1306.2098388671875
CROPseq_dCas9_DS_OXR1_-_107670413.23,1006.6220092773438
CROPseq_dCas9_DS_PHF20L1_+_133787682-P1P2,1067.8087158203125
CROPseq_dCas9_DS_PHF20L1_+_133788017-P1P2,959.7654418945312
CROPseq_dCas9_DS_PHF20L1_+_133788065-P1P2,380.5147705078125
CROPseq_dCas9_DS_PHF20L1_-_133787636-P1P2,1919.2147216796875
CROPseq_dCas9_DS_RIPK2_+_90770127.23-P1P2,776.0213623046875
CROPseq_dCas9_DS_RIPK2_+_90770318.23-P1P2,874.050537109375
CROPseq_dCas9_DS_RIPK2_-_90770297.23-P1P2,1325.3553466796875
CROPseq_dCas9_DS_RIPK2_-_90770465.23-P1P2,1049.565673828125
CROPseq_dCas9_DS_STK3_+_99837558.23-P1P2,487.9997253417969
CROPseq_dCas9_DS_STK3_+_99837574.23-P1P2,1231.916015625
CROPseq_dCas9_DS_STK3_+_99837894.23-P1P2,743.1744995117188
CROPseq_dCas9_DS_STK3_-_99837866.23-P1P2,72.96107482910156
CROPseq_dCas9_DS_UBR5_+_103424908.23-P1P2,1062.76953125
CROPseq_dCas9_DS_UBR5_+_103424940.23-P1P2,800.9703979492188
CROPseq_dCas9_DS_UBR5_-_103424644.23-P1P2,593.7868041992188
CROPseq_dCas9_DS_UBR5_-_103424857.23-P1P2,372.9540710449219
CROPseq_dCas9_DS_ZFPM2-A,542.346435546875
CROPseq_dCas9_DS_ZFPM2-B,248.2298583984375
CROPseq_dCas9_DS_ZFPM2-C,294.32537841796875
CROPseq_dCas9_DS_ZFPM2-D,215.38409423828125
CROPseq_dCas9_DS_non-targeting_00000,1011.104736328125
CROPseq_dCas9_DS_non-targeting_00001,1058.337646484375
CROPseq_dCas9_DS_non-targeting_00002,1216.9942626953125
CROPseq_dCas9_DS_non-targeting_00003,1206.7001953125
CROPseq_dCas9_DS_non-targeting_00004,1214.0968017578125
CROPseq_dCas9_DS_non-targeting_00005,782.4913940429688
CROPseq_dCas9_DS_non-targeting_00006,843.5807495117188
CROPseq_dCas9_DS_non-targeting_00007,1026.0172119140625
CROPseq_dCas9_DS_non-targeting_00008,899.7422485351562
CROPseq_dCas9_DS_non-targeting_00009,1009.9618530273438
CROPseq_dCas9_DS_non-targeting_00010,799.6539916992188
CROPseq_dCas9_DS_non-targeting_00011,1102.7408447265625
CROPseq_dCas9_DS_non-targeting_00012,1399.583984375
CROPseq_dCas9_DS_non-targeting_00013,850.7009887695312
CROPseq_dCas9_DS_non-targeting_00014,861.20947265625
CROPseq_dCas9_DS_non-targeting_00015,957.9161376953125
CROPseq_dCas9_DS_non-targeting_00016,1090.5084228515625
CROPseq_dCas9_DS_non-targeting_00017,901.5739135742188
CROPseq_dCas9_DS_non-targeting_00018,1820.7196044921875
CROPseq_dCas9_DS_non-targeting_00019,699.7994995117188
CROPseq_dCas9_DS_non-targeting_00020,912.9517822265625
CROPseq_dCas9_DS_non-targeting_00021,1908.03955078125
CROPseq_dCas9_DS_non-targeting_00022,1365.40185546875
CROPseq_dCas9_DS_non-targeting_00023,929.279541015625
CROPseq_dCas9_DS_non-targeting_00024,576.4357299804688
CROPseq_dCas9_DS_non-targeting_00025,2248.705078125
CROPseq_dCas9_DS_non-targeting_00026,812.158203125
CROPseq_dCas9_DS_non-targeting_00027,1169.8900146484375
CROPseq_dCas9_DS_non-targeting_00028,1937.772216796875
CROPseq_dCas9_DS_non-targeting_00029,1464.5892333984375
