gRNA,threshold
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,5
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,5
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,5
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,6
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,4
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,6
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,5
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,6
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,5
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,4
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,6
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,6
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,5
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,6
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,5
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,4
CROPseq_dCas9_DS_GATA1-A,5
CROPseq_dCas9_DS_GATA1-B,4
CROPseq_dCas9_DS_GATA1-C,5
CROPseq_dCas9_DS_GATA1-D,6
CROPseq_dCas9_DS_HS2-A,5
CROPseq_dCas9_DS_HS2-B,5
CROPseq_dCas9_DS_HS2-C,5
CROPseq_dCas9_DS_HS2-D,7
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,5
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,4
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,5
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,6
CROPseq_dCas9_DS_MYC-A,5
CROPseq_dCas9_DS_MYC-B,5
CROPseq_dCas9_DS_MYC-C,6
CROPseq_dCas9_DS_MYC-D,6
CROPseq_dCas9_DS_OXR1_+_107670106.23,6
CROPseq_dCas9_DS_OXR1_+_107670159.23,6
CROPseq_dCas9_DS_OXR1_+_107670422.23,6
CROPseq_dCas9_DS_OXR1_-_107670413.23,5
CROPseq_dCas9_DS_PHF20L1_+_133787682-P1P2,5
CROPseq_dCas9_DS_PHF20L1_+_133788017-P1P2,5
CROPseq_dCas9_DS_PHF20L1_+_133788065-P1P2,4
CROPseq_dCas9_DS_PHF20L1_-_133787636-P1P2,5
CROPseq_dCas9_DS_RIPK2_+_90770127.23-P1P2,4
CROPseq_dCas9_DS_RIPK2_+_90770318.23-P1P2,4
CROPseq_dCas9_DS_RIPK2_-_90770297.23-P1P2,7
CROPseq_dCas9_DS_RIPK2_-_90770465.23-P1P2,7
CROPseq_dCas9_DS_STK3_+_99837558.23-P1P2,7
CROPseq_dCas9_DS_STK3_+_99837574.23-P1P2,5
CROPseq_dCas9_DS_STK3_+_99837894.23-P1P2,4
CROPseq_dCas9_DS_STK3_-_99837866.23-P1P2,6
CROPseq_dCas9_DS_UBR5_+_103424908.23-P1P2,5
CROPseq_dCas9_DS_UBR5_+_103424940.23-P1P2,5
CROPseq_dCas9_DS_UBR5_-_103424644.23-P1P2,4
CROPseq_dCas9_DS_UBR5_-_103424857.23-P1P2,3
CROPseq_dCas9_DS_ZFPM2-A,5
CROPseq_dCas9_DS_ZFPM2-B,6
CROPseq_dCas9_DS_ZFPM2-C,4
CROPseq_dCas9_DS_ZFPM2-D,5
CROPseq_dCas9_DS_non-targeting_00000,6
CROPseq_dCas9_DS_non-targeting_00001,6
CROPseq_dCas9_DS_non-targeting_00002,6
CROPseq_dCas9_DS_non-targeting_00003,6
CROPseq_dCas9_DS_non-targeting_00004,5
CROPseq_dCas9_DS_non-targeting_00005,6
CROPseq_dCas9_DS_non-targeting_00006,5
CROPseq_dCas9_DS_non-targeting_00007,6
CROPseq_dCas9_DS_non-targeting_00008,6
CROPseq_dCas9_DS_non-targeting_00009,6
CROPseq_dCas9_DS_non-targeting_00010,5
CROPseq_dCas9_DS_non-targeting_00011,5
CROPseq_dCas9_DS_non-targeting_00012,5
CROPseq_dCas9_DS_non-targeting_00013,4
CROPseq_dCas9_DS_non-targeting_00014,6
CROPseq_dCas9_DS_non-targeting_00015,6
CROPseq_dCas9_DS_non-targeting_00016,5
CROPseq_dCas9_DS_non-targeting_00017,5
CROPseq_dCas9_DS_non-targeting_00018,5
CROPseq_dCas9_DS_non-targeting_00019,5
CROPseq_dCas9_DS_non-targeting_00020,5
CROPseq_dCas9_DS_non-targeting_00021,6
CROPseq_dCas9_DS_non-targeting_00022,5
CROPseq_dCas9_DS_non-targeting_00023,7
CROPseq_dCas9_DS_non-targeting_00024,6
CROPseq_dCas9_DS_non-targeting_00025,5
CROPseq_dCas9_DS_non-targeting_00026,6
CROPseq_dCas9_DS_non-targeting_00027,6
CROPseq_dCas9_DS_non-targeting_00028,6
CROPseq_dCas9_DS_non-targeting_00029,6
